track_id,track_name,artist,album_name,release_date,duration_ms,popularity,preview_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,_genre_synth,_synthetic
syn_000000,Synthetic Track 0,Synthetic Artist 0,Synthetic Album 0,2018-01-01,176757,0,,0.8099,0.7203,3,-2.029,0,0.0738,0.5417,0.1498,0.0647,0.4001,89.798,country,True
syn_000001,Synthetic Track 1,Synthetic Artist 0,Synthetic Album 0,2019-02-02,173717,45,,0.8545,0.6055,7,-5.507,0,0.1795,0.0578,0.0021,0.0964,0.3441,86.758,hiphop,True
syn_000002,Synthetic Track 2,Synthetic Artist 0,Synthetic Album 0,2020-03-03,208409,43,,0.5993,0.7018,2,-2.37,1,0.2121,0.4605,0.5012,0.0279,0.1517,98.858,jazz,True
syn_000003,Synthetic Track 3,Synthetic Artist 0,Synthetic Album 0,2021-04-04,188387,81,,0.7198,0.7244,9,-1.957,1,0.1853,0.511,0.0769,0.0743,0.6668,79.032,rnb,True
syn_000004,Synthetic Track 4,Synthetic Artist 0,Synthetic Album 0,2022-05-05,173937,32,,0.4676,0.6729,8,-8.229,1,0.0809,0.0826,0.1278,0.1702,0.41,100.442,pop,True
syn_000005,Synthetic Track 5,Synthetic Artist 0,Synthetic Album 0,2023-06-06,297952,87,,0.2646,0.078,1,-14.49,1,0.1571,0.7615,0.8649,0.0937,0.7365,90.87,ambient,True
syn_000006,Synthetic Track 6,Synthetic Artist 0,Synthetic Album 0,2024-07-07,191691,42,,0.4913,0.4989,3,-7.765,1,0.1285,0.4405,0.0051,0.3147,0.2219,116.405,country,True
syn_000007,Synthetic Track 7,Synthetic Artist 0,Synthetic Album 0,2025-08-08,164179,34,,0.7203,0.6214,3,-8.662,1,0.8284,0.2661,0.1162,0.3684,0.7559,120.43,country,True
syn_000008,Synthetic Track 8,Synthetic Artist 0,Synthetic Album 0,2018-09-09,244458,45,,0.6648,0.7931,7,-4.498,1,0.2955,0.1802,0.0103,0.6029,0.7885,136.809,pop,True
syn_000009,Synthetic Track 9,Synthetic Artist 0,Synthetic Album 0,2019-10-10,241395,55,,0.6476,0.9073,6,0.0,1,0.059,0.0,0.4364,0.0764,0.7222,127.85,edm,True
syn_000010,Synthetic Track 10,Synthetic Artist 0,Synthetic Album 0,2020-11-11,157925,46,,0.7401,0.6164,0,-3.844,1,0.1994,0.2932,0.0052,0.1048,0.553,102.296,hiphop,True
syn_000011,Synthetic Track 11,Synthetic Artist 0,Synthetic Album 0,2021-12-12,173296,18,,0.4905,0.8901,8,-2.014,1,0.135,0.1667,0.2889,0.4266,0.2415,135.666,metal,True
syn_000012,Synthetic Track 12,Synthetic Artist 0,Synthetic Album 1,2022-01-13,274322,32,,0.3773,0.5605,9,-4.129,1,0.2036,0.4592,0.1678,0.0562,0.5096,79.091,rnb,True
syn_000013,Synthetic Track 13,Synthetic Artist 0,Synthetic Album 1,2023-02-14,251348,38,,0.2809,0.2275,7,-6.695,1,0.0716,0.6557,0.7872,0.1834,0.1996,101.116,classical,True
syn_000014,Synthetic Track 14,Synthetic Artist 0,Synthetic Album 1,2024-03-15,236140,65,,0.7387,0.726,0,0.0,1,0.0222,0.0,0.5691,0.0111,0.4474,136.075,edm,True
syn_000015,Synthetic Track 15,Synthetic Artist 0,Synthetic Album 1,2025-04-16,159054,54,,0.4277,0.9642,9,0.0,1,0.032,0.0,0.1758,0.1714,0.7133,144.9,rock,True
syn_000016,Synthetic Track 16,Synthetic Artist 0,Synthetic Album 1,2018-05-17,144026,82,,0.4955,0.5322,7,-9.95,1,0.0766,0.6996,0.1561,0.4801,0.6902,134.463,indie,True
syn_000017,Synthetic Track 17,Synthetic Artist 0,Synthetic Album 1,2019-06-18,272210,56,,0.7756,0.6771,11,-5.729,1,0.0249,0.2753,0.0054,0.2675,0.3117,136.972,pop,True
syn_000018,Synthetic Track 18,Synthetic Artist 0,Synthetic Album 1,2020-07-19,189670,86,,0.2249,0.3115,1,-6.925,0,0.0981,0.9747,0.578,0.1079,0.0,50.0,classical,True
syn_000019,Synthetic Track 19,Synthetic Artist 0,Synthetic Album 1,2021-08-20,241045,20,,0.7156,0.4266,0,-5.784,0,0.1931,0.5262,0.5726,0.1066,0.3967,89.46,indie,True
