Video,Label Description,Category Description,Start Time,End Time,Confidence,_synthetic
synthetic_video_0000.mp4,party,Entertainment,0.0,4.14,0.8839,True
synthetic_video_0000.mp4,explosion,Action,4.41,9.92,0.9258,True
synthetic_video_0000.mp4,soccer,Sports,8.35,12.26,0.9958,True
synthetic_video_0000.mp4,spotlight,Entertainment,12.07,14.14,0.6651,True
synthetic_video_0000.mp4,chase,Action,10.95,13.99,0.819,True
synthetic_video_0000.mp4,party,Entertainment,18.38,20.21,0.7774,True
synthetic_video_0000.mp4,fight,Sports,18.85,22.26,0.8501,True
synthetic_video_0000.mp4,explosion,Action,25.53,30.64,0.96,True
synthetic_video_0000.mp4,concert,Entertainment,29.7,33.75,0.5975,True
synthetic_video_0000.mp4,fight,Action,39.05,44.51,0.9703,True
synthetic_video_0000.mp4,tears,Drama,32.99,36.68,0.9496,True
synthetic_video_0000.mp4,fight,Action,42.87,47.5,0.9924,True
synthetic_video_0000.mp4,basketball,Sports,48.06,51.19,0.8748,True
synthetic_video_0000.mp4,swimming,Sports,38.18,43.16,0.8966,True
synthetic_video_0000.mp4,battle,Action,60.73,65.59,0.9267,True
synthetic_video_0000.mp4,conversation,Drama,51.1,55.65,0.9632,True
synthetic_video_0000.mp4,explosion,Action,69.97,75.8,0.8415,True
synthetic_video_0000.mp4,soccer,Sports,42.84,48.16,0.6718,True
synthetic_video_0000.mp4,audience,Entertainment,79.55,83.8,0.9583,True
synthetic_video_0000.mp4,cry,Drama,78.06,80.32,0.6601,True
synthetic_video_0000.mp4,fun,Comedy,75.48,80.72,0.8292,True
synthetic_video_0000.mp4,kitchen,Food,66.38,71.51,0.9714,True
synthetic_video_0000.mp4,festival,Entertainment,69.26,71.28,0.9824,True
synthetic_video_0001.mp4,snow,Nature,0.0,3.39,0.8149,True
synthetic_video_0001.mp4,stage,Entertainment,3.16,7.27,0.8656,True
synthetic_video_0001.mp4,concert,Entertainment,8.37,12.72,0.7857,True
synthetic_video_0001.mp4,smile,Comedy,11.59,15.76,0.9087,True
synthetic_video_0001.mp4,exercise,Lifestyle,13.48,15.55,0.8185,True
synthetic_video_0001.mp4,audience,Entertainment,17.33,22.22,0.8101,True
synthetic_video_0001.mp4,candlelight,Romance,16.19,18.76,0.809,True
synthetic_video_0001.mp4,fight,Sports,27.02,28.74,0.9833,True
synthetic_video_0001.mp4,sports,Sports,20.53,22.96,0.9053,True
synthetic_video_0001.mp4,fight,Action,27.2,32.54,0.7681,True
synthetic_video_0001.mp4,argument,Drama,39.42,42.8,0.9075,True
synthetic_video_0001.mp4,athletics,Sports,40.8,46.74,0.8065,True
synthetic_video_0001.mp4,joke,Comedy,33.81,37.2,0.8661,True
synthetic_video_0001.mp4,vehicle,Action,42.09,45.08,0.7592,True
synthetic_video_0001.mp4,festival,Entertainment,36.03,37.79,0.8727,True
synthetic_video_0001.mp4,sky,Nature,65.01,66.89,0.8584,True
synthetic_video_0001.mp4,candlelight,Romance,53.37,57.23,0.8824,True
synthetic_video_0001.mp4,shopping,Lifestyle,44.31,48.68,0.8384,True
synthetic_video_0001.mp4,travel,Travel,71.76,74.35,0.8925,True
synthetic_video_0001.mp4,laugh,Comedy,65.92,70.25,0.9306,True
synthetic_video_0001.mp4,rain,Nature,58.48,60.12,0.9059,True
synthetic_video_0001.mp4,sky,Nature,56.18,58.81,0.4618,True
synthetic_video_0001.mp4,cry,Drama,85.56,88.46,0.9286,True
synthetic_video_0001.mp4,joke,Comedy,61.81,64.86,0.9743,True
synthetic_video_0002.mp4,snow,Nature,0.0,5.26,0.7301,True
synthetic_video_0002.mp4,swimming,Sports,2.53,7.35,0.955,True
synthetic_video_0002.mp4,party,Entertainment,6.36,9.79,0.8978,True
synthetic_video_0002.mp4,laugh,Comedy,12.08,14.96,0.9369,True
synthetic_video_0002.mp4,sports,Sports,17.18,18.78,0.6353,True
synthetic_video_0002.mp4,airport,Travel,14.46,16.1,0.5682,True
synthetic_video_0002.mp4,rain,Nature,22.29,27.73,0.889,True
synthetic_video_0002.mp4,wildlife,Nature,19.35,24.01,0.553,True
synthetic_video_0002.mp4,athletics,Sports,22.33,24.07,0.8167,True
synthetic_video_0002.mp4,joke,Comedy,26.99,28.52,0.7658,True
synthetic_video_0002.mp4,crash,Action,39.88,43.41,0.7636,True
synthetic_video_0002.mp4,crash,Action,29.01,34.17,0.7942,True
synthetic_video_0002.mp4,laugh,Comedy,30.21,34.54,0.8989,True
synthetic_video_0002.mp4,tears,Drama,34.16,39.07,0.7943,True
synthetic_video_0002.mp4,athletics,Sports,48.85,50.83,0.7246,True
synthetic_video_0002.mp4,singing,Entertainment,40.5,42.36,0.6543,True
synthetic_video_0002.mp4,fight,Sports,56.27,59.16,0.6936,True
synthetic_video_0002.mp4,ocean,Nature,46.38,51.46,0.8464,True
synthetic_video_0002.mp4,stage,Entertainment,68.96,71.15,0.7645,True
synthetic_video_0002.mp4,coffee,Lifestyle,53.58,55.75,0.696,True
synthetic_video_0002.mp4,tense moment,Drama,89.82,94.8,0.832,True
synthetic_video_0002.mp4,singing,Entertainment,69.51,72.37,0.8105,True
synthetic_video_0002.mp4,performance,Entertainment,78.37,81.13,0.9281,True
synthetic_video_0002.mp4,fight,Action,102.0,107.25,0.6971,True
synthetic_video_0003.mp4,tears,Drama,0.0,1.84,0.7448,True
synthetic_video_0003.mp4,airport,Travel,4.4,5.97,0.8423,True
synthetic_video_0003.mp4,party,Entertainment,6.99,11.66,0.9402,True
synthetic_video_0003.mp4,cycling,Sports,13.09,17.46,0.9154,True
synthetic_video_0003.mp4,city,Travel,15.73,20.72,0.8396,True
synthetic_video_0003.mp4,meal,Food,17.6,21.92,0.7069,True
synthetic_video_0003.mp4,sunset,Nature,16.23,20.71,0.8387,True
synthetic_video_0003.mp4,crash,Action,20.59,23.58,0.9149,True
synthetic_video_0003.mp4,basketball,Sports,25.05,28.19,0.8265,True
synthetic_video_0003.mp4,swimming,Sports,28.3,33.06,0.9506,True
synthetic_video_0003.mp4,kitchen,Food,28.98,34.97,0.9926,True
synthetic_video_0003.mp4,playful interaction,Comedy,39.91,43.28,0.8988,True
synthetic_video_0003.mp4,fashion,Lifestyle,37.4,39.06,0.877,True
synthetic_video_0003.mp4,destruction,Action,40.65,44.95,0.8706,True
synthetic_video_0003.mp4,travel,Travel,42.38,47.24,0.8471,True
synthetic_video_0004.mp4,concert,Entertainment,0.0,4.91,0.5233,True
synthetic_video_0004.mp4,playful interaction,Comedy,2.54,4.6,0.802,True
synthetic_video_0004.mp4,soccer,Sports,5.89,10.98,0.754,True
synthetic_video_0004.mp4,travel,Travel,11.9,14.45,0.7906,True
synthetic_video_0004.mp4,concert,Entertainment,15.11,19.55,0.9874,True
synthetic_video_0004.mp4,music,Entertainment,19.89,24.66,0.7504,True
synthetic_video_0004.mp4,dance,Entertainment,18.22,21.86,0.957,True
synthetic_video_0004.mp4,mountain,Nature,30.44,34.23,0.9553,True
synthetic_video_0004.mp4,athletics,Sports,25.68,27.36,0.6317,True
synthetic_video_0004.mp4,cooking,Food,40.23,45.39,0.8739,True
synthetic_video_0004.mp4,conversation,Drama,42.57,45.51,0.922,True
synthetic_video_0004.mp4,soccer,Sports,37.52,41.83,0.8853,True
